bncc_component_id,cc_component_id,similarity,match_tier
893fbe8f-ccd3-47e9-b6c7-564de8c8a7da,893fbe8f-ccd3-47e9-b6c7-564de8c8a7da,1.0,merge
c6487949-b71d-4800-903f-bbd7baad103f,c6487949-b71d-4800-903f-bbd7baad103f,1.0,merge
d463b030-4b76-41a2-ae23-730600b01928,d463b030-4b76-41a2-ae23-730600b01928,1.0,merge
a4056048-4edc-47f5-951f-c2a15df9a6cf,a4056048-4edc-47f5-951f-c2a15df9a6cf,1.0,merge
1a15b037-5506-4e26-839a-08ba54741f52,1a15b037-5506-4e26-839a-08ba54741f52,1.0,merge
c6487949-b71d-4800-903f-bbd7baad103f,c6487949-b71d-4800-903f-bbd7baad103f,1.0,merge
c8a3505a-f157-40ce-a5e5-6d6e9b0449aa,c8a3505a-f157-40ce-a5e5-6d6e9b0449aa,1.0,merge
07a3c733-b23f-4bee-a8c7-d2e8464b84a1,07a3c733-b23f-4bee-a8c7-d2e8464b84a1,1.0,merge
1000aa2d-21e7-4b1b-b4eb-fc39fddbd1b6,1000aa2d-21e7-4b1b-b4eb-fc39fddbd1b6,1.0,merge
adf587b0-4f38-4e58-81d5-c397e3c3ad06,adf587b0-4f38-4e58-81d5-c397e3c3ad06,1.0,merge
b6407e0a-a7f1-447e-80a9-057a8f15857c,b6407e0a-a7f1-447e-80a9-057a8f15857c,1.0,merge
4a5f2dd0-e7ae-5fe9-9ab8-ce2ba4d70660,4a5f2dd0-e7ae-5fe9-9ab8-ce2ba4d70660,1.0,merge
3e117ec0-15e3-504c-9492-f689213dd079,3e117ec0-15e3-504c-9492-f689213dd079,1.0,merge
0b583d53-2d36-43eb-971d-cea2025278d4,0b583d53-2d36-43eb-971d-cea2025278d4,1.0,merge
d01f5435-9374-5fc1-bdb2-daecf33aa4d5,d01f5435-9374-5fc1-bdb2-daecf33aa4d5,1.0,merge
d2c77dc2-e49f-418a-8953-b1ef1a1e0c58,d2c77dc2-e49f-418a-8953-b1ef1a1e0c58,1.0,merge
20767411-379a-5783-a81e-0bba4df4deb9,20767411-379a-5783-a81e-0bba4df4deb9,1.0,merge
d2c77dc2-e49f-418a-8953-b1ef1a1e0c58,d2c77dc2-e49f-418a-8953-b1ef1a1e0c58,1.0,merge
2af44b9d-ef6c-4dac-af6d-df0ffccfae35,2af44b9d-ef6c-4dac-af6d-df0ffccfae35,1.0,merge
7f1f62d1-c88b-4811-92cf-7338addab818,7f1f62d1-c88b-4811-92cf-7338addab818,1.0,merge
68fbedd2-f8de-49f1-8470-f513fecf7302,68fbedd2-f8de-49f1-8470-f513fecf7302,1.0,merge
605ceda8-3294-4238-af4e-e8c3bb90917a,605ceda8-3294-4238-af4e-e8c3bb90917a,1.0,merge
950ff4d3-f129-4b4e-ae4b-aa9b2451eb9a,950ff4d3-f129-4b4e-ae4b-aa9b2451eb9a,1.0,merge
65f8a2fe-960a-4627-90fa-9afce2a74a36,65f8a2fe-960a-4627-90fa-9afce2a74a36,1.0,merge
96f5c0fe-f649-4083-ab8c-ca62f82d6ad9,96f5c0fe-f649-4083-ab8c-ca62f82d6ad9,1.0,merge
96f5c0fe-f649-4083-ab8c-ca62f82d6ad9,96f5c0fe-f649-4083-ab8c-ca62f82d6ad9,1.0,merge
aabc5418-5ee7-4f2e-b189-2315e160a08b,aabc5418-5ee7-4f2e-b189-2315e160a08b,1.0,merge
164a6b8e-33f7-4957-9bf9-e1c526ffa330,8ae3fcbd-b5e9-4d45-ba4d-3a2c616174d4,0.1138,link
e52b7bd2-6869-40b9-be51-7e3946555f67,de7c7dcd-aa52-4e08-a72b-fa61f2d9a9d1,0.163,none
54ac6be9-fc1e-4aa2-9d18-cc0a4c4d4598,54ac6be9-fc1e-4aa2-9d18-cc0a4c4d4598,0.3095,merge
b4322eb0-516f-47c6-8202-1b8bc32d1bda,152b1092-128a-4054-8334-c6586064cf7a,0.1328,none
75ea17fe-af4f-4b6e-afc6-9beaf0f246e5,f208e697-e1d1-4d3e-afeb-78e6438154e3,0.1679,link
5069fc8b-f5a8-4ccb-a68c-d7f0abc6f65c,950eaf3c-ca3f-4157-9ba6-527bb98eaff0,0.1215,link
c4073ab6-560b-40f9-9e9d-d9f927f97bb3,ef3ffc00-6d4e-495c-8002-00306bcd8e59,0.1444,link
18dbed75-20e3-4f1c-8af1-d052d9ffb10d,5ce097d9-fd49-417d-8b2c-06b4b1867741,0.1849,none
d04a2437-ecd6-4b03-94aa-651621a6ee56,6b7fe640-4641-4e97-8048-f1f88910cfe8,0.1142,none
15d11800-afd8-4809-9256-2de96c0adb57,fd051411-f9a6-4277-95c1-c6d6cbaa9dc0,0.1337,link
6f1948fe-6b46-4786-befb-65b69ebadad9,6f1948fe-6b46-4786-befb-65b69ebadad9,0.4464,merge
5804d310-a546-495b-8519-1c2bbfac758c,5804d310-a546-495b-8519-1c2bbfac758c,0.3894,merge
44444d1e-6ca1-4c40-8553-c90bedf4e9d1,6da3720a-0247-4b2c-93ef-510e5ed0af14,0.1914,none
89899e92-2e50-4c5a-baab-7a5382cc57d2,89899e92-2e50-4c5a-baab-7a5382cc57d2,0.2754,merge
6629a31f-291c-4357-a5d7-f92401d572c0,6629a31f-291c-4357-a5d7-f92401d572c0,0.1983,merge
510973e3-09ee-48fe-9ebd-c233ac667bc8,598f9e0f-8f34-4327-8c51-ea78096fc499,0.1987,link
bc691736-981d-4e37-a08d-c4bf1554e03f,594618c0-191c-4b7f-8dfe-086be318a4fd,0.2501,none
855425d7-fd80-42c8-9620-43bf73e07b3a,e303d448-f13d-4d92-9af6-b6d627198e72,0.2042,link
ec761141-c2f9-4729-9f81-9dbfe341dc90,dc6c8b78-21f2-4dee-a952-6983880f9998,0.1647,link
65ba2278-82e7-406c-892d-b73e2e54b685,ae8250cb-384f-4c23-a448-a7de801b4865,0.1732,link
f6667bd2-afa2-4dea-8a45-c351da0951fc,c2b7da2e-75d6-4391-823c-b254724261f3,0.1745,link
24819a10-8dca-4c30-8890-f9ea96d38d03,f31a64ba-ff2c-4414-b0af-94cf45e4578d,0.0904,link
4203ae41-c8ce-4aff-9ef9-f12820038964,e33f1326-1cec-4553-bf6d-bc18fa70582b,0.1493,link
88f6300e-ac99-4f76-9b7d-522caf1b1d4a,77dc2e6c-c5c7-4302-87a2-ced48d1e4904,0.0781,none
554cec9b-c113-4f15-8979-d5527a759225,edf8ccd5-43bf-47a7-b8af-4d479751071d,0.2162,link
45b44545-f952-4c5d-ad31-9355a21ef500,c2b7da2e-75d6-4391-823c-b254724261f3,0.2655,link
938224ef-4ed2-484c-b531-6ad81a04f3fb,190bff9c-b883-4a26-9d13-dee40e64abcd,0.1738,link
45461b8a-db67-40cb-9425-aeffc22d16a4,893fbe8f-ccd3-47e9-b6c7-564de8c8a7da,0.1298,none
6697ee45-62e6-467f-af29-fb5f4ad33e8d,85568bbe-bd80-4a0c-afb0-fbd9417b8645,0.1814,link
862c3fe9-793b-4da6-a235-795c60a64dc8,497efb57-82a1-4b71-95b4-03e170750f29,0.1108,link
27c62683-d56d-4eca-8e82-c5f02a8495cc,31d3d4f0-2799-4c5f-a8dd-bcea34bce29b,0.1102,none
a8b921c1-8029-41ae-92e1-4f1bc48e8171,f498b24a-bf6f-4fdd-8be6-5819ef1f8780,0.0995,link
dbdf7b78-43e8-42e6-90dc-9a3ae9b1c9fa,f504a756-38cb-4614-8987-27af24a2a0ea,0.1873,none
d3392c15-9343-480f-9176-47ba2fd8253b,d3392c15-9343-480f-9176-47ba2fd8253b,0.122,merge
09035375-772d-4d90-88a4-e6f3d926a026,4a80a439-5f47-489f-b671-aebf6b8fbaae,0.1391,link
c1c1d96f-2495-47c5-8844-8f16175d3ec7,f498b24a-bf6f-4fdd-8be6-5819ef1f8780,0.126,link
d3bfcaf1-a87e-4277-b7d6-7a1f9860d235,d3bfcaf1-a87e-4277-b7d6-7a1f9860d235,0.2354,merge
8e5635f3-24e2-4e6a-9fbf-3fbb291d3be3,1b98ae24-da68-4e06-99dc-74ce55dfcb60,0.17,link
a910a27b-7244-4df1-a897-3e32568ce85e,d54d4b5f-135e-4f92-8ff6-daaa9c403068,0.3064,none
b2edcd45-1bd8-436c-82fa-db0e42ae605e,2d20a3b8-8b7b-45ab-9a99-97f25de96b5c,0.1572,link
79335231-e0ff-460f-9cef-f13d7cb390ab,52f73b9c-7380-4979-80a6-7a47be53ab4b,0.1474,link
1d39e23c-7c72-44be-9d6e-ea70ec57c6d2,c48a71e2-dc74-4e58-96e0-83bfd215a144,0.2186,none
c3405583-2dd6-4b85-a9f9-658640b59f11,bfefed56-affa-444c-8ac9-27d3dfc739f1,0.1888,link
0e77bc60-8a94-4859-95db-5f52238295d5,87525187-dac7-4948-aef5-babb37b16160,0.2665,none
51ca1449-06a0-4625-bbf8-203ee867d6f1,a6b868a0-15b3-4a54-897b-bfef05927e97,0.3392,link
728fdc27-5a4c-42a7-aaef-fff55d511bb9,728fdc27-5a4c-42a7-aaef-fff55d511bb9,0.2447,merge
7b3dd9d3-0b06-471e-8690-032877e2c412,3eb37a7d-d756-41d1-a592-e6b3f9caaec8,0.1726,none
5dedb8a1-d061-4a66-8d19-86cdc3e92e9e,8c569a99-546d-4ecb-9f81-a83fdfbd0f82,0.2209,none
cd1388c5-105b-48f9-b33b-d015c4892431,96c682e0-9b70-5d9a-8094-bb37cf274230,0.1168,none
f468a7f2-9e3f-4a93-bca1-a9a2df8826cd,b2058c56-c204-45e7-ac29-aa35a1aef73c,0.2188,link
11c1397e-c630-483f-a2b3-7b3da546f059,11c1397e-c630-483f-a2b3-7b3da546f059,0.3506,merge
52f73b9c-7380-4979-80a6-7a47be53ab4b,52f73b9c-7380-4979-80a6-7a47be53ab4b,0.1466,merge
6764875a-ede2-4e28-b7ba-e01a0cbbc0a8,fbbff3cd-ef58-5383-ab5a-94c445fcd933,0.129,none
e3d72b7c-f713-4391-8dde-a3c69bc1af33,0eb5cd9f-961f-408e-a521-1bc38f1e19c6,0.254,link
d0567088-3aca-498d-84ea-d56542c01a40,6a2dff55-5f55-4f27-999d-8e9afa487bde,0.204,none
28c640b9-d3cd-42a6-b79c-e9cd3ec91678,87525187-dac7-4948-aef5-babb37b16160,0.3614,none
d72795d5-9d40-426b-ad15-04e474934047,87525187-dac7-4948-aef5-babb37b16160,0.1779,none
0f78d271-a53e-4746-a3c5-7b7681a69fd3,5d3da15a-7814-490d-a5ae-4c2683a75c7a,0.3377,link
974f9d0e-88e3-4d5a-9729-e1ef35fc61f3,4210922b-c405-5e70-88ec-39c36d8f3a15,0.2498,none
d7ccbca2-d1f6-4c8b-b028-d59f562d4e43,564ce453-444b-4c06-9b33-7b62329cc45a,0.2243,none
a4d290fa-3b1d-4d6a-9742-f4cb51e2418f,a4d290fa-3b1d-4d6a-9742-f4cb51e2418f,0.2512,merge
4dc373d8-8b6d-42ad-839e-a442c9074f92,b34656b8-4c93-48be-8da8-d04ee269f665,0.2193,none
43a50b01-eed0-42ed-9294-70b46d8f31cb,950eaf3c-ca3f-4157-9ba6-527bb98eaff0,0.1503,link
eaa7d8f4-e14d-4ac0-8d90-a4d66cb88609,f17d0e2e-12cb-439a-a147-4beda4aebef5,0.2945,none
6c8ea260-3cf4-4b18-a4d2-40dd0b092bb1,b700e800-5b57-4242-97ff-0a8ef263c19c,0.2241,none
5c11e818-952c-4c41-a6ef-2e6e4efc289b,5c8a1933-bb66-451f-8b2f-5b641e1719d0,0.1828,none
8b88a741-1238-45c1-8e48-f250d7e564c7,8b88a741-1238-45c1-8e48-f250d7e564c7,0.3168,merge
677cbc12-025e-4894-bd22-1813c17e52fc,6d34d59d-b50c-4c47-8f92-2223026eceea,0.3865,link
