habilidade_code,component_id,description
EF04LP13,3a572a46-b345-4cc8-b735-1a3f36093489,Identify imperative verbs used in instructional texts such as game instructions
EF04LP13,adbf7431-ec43-45e7-b1f6-09edd5ae9bf5,Recognize sequential steps as a structural convention in instructional genres
EF04LP13,0909a0fc-6795-430e-a999-535308b5bc05,Distinguish the materials list section from the instructions section in game texts
EF04LP13,a94643ce-6c5a-46e2-921b-0fb4a29283de,Reproduce formatting conventions of instructional texts when writing game instructions
EF04LP11,86f7cd6d-f2e6-4fc3-8230-00fae635d937,"Identify the structural components of a complaint letter: problem, opinion, and supporting arguments"
EF04LP11,5d5627d0-10b8-4f61-9d11-d5f481465f9a,Apply letter genre conventions when planning a personal complaint letter
EF04LP11,714d4157-0baa-40b4-af45-c9411506deea,Construct supporting arguments appropriate to the complaint being addressed
EF04LP11,8566e00c-5034-4125-afc2-0738fb438a0a,Produce an independently written complaint letter adapted to its communicative situation
EF05LP04,08dae30e-d7d8-4e6c-9d5d-b57cc18576d2,"Distinguish the functions of the comma, semicolon, and colon within a text"
EF05LP04,d763dfc7-2598-4aa6-a0da-62bc2c153e76,Recognize the effect on meaning produced by ellipses in written texts
EF05LP04,b1caa30d-4ee0-4cd3-b49e-b49636d27683,Interpret the effect on meaning produced by quotation marks in written texts
EF15LP05,139cf6a8-c71d-4d3e-95c7-5fa061db4da1,Plan writing with attention to purpose and intended audience
EF15LP05,5e5914b7-9498-45b3-aa3d-b47d4a2fbc80,"Select appropriate language, organization, and form based on where a text will circulate"
EF15LP05,b482d4f7-f53f-41d5-86c5-006f05902dd6,Research information needed for text production using print or digital sources
EF15LP05,eef40c62-c30a-43fc-a794-ae4c47942c1d,Organize gathered data and sources into notes to support planned text production
EF15LP07,1c9a6292-36dc-4ae8-97ce-3dc6b7795ff3,Revise a text collaboratively with peers to produce a final version
EF15LP07,c8956ebb-8bce-45d9-9e70-618304906ece,Add illustrations where appropriate to complement the meaning of a final text
EF15LP07,465b23d2-e36a-48ff-a46c-ac06dc2331d6,Select a suitable print or digital medium for publishing the edited text
EF35LP27,f0dda911-ba7e-4842-994a-18d8e984f653,"Identify rhymes, sound patterns, and wordplay in poetic texts"
EF35LP27,c13a69ce-7026-4411-95f6-fdaea05ee47c,Distinguish the literal and figurative meanings of words and phrases in text
EF35LP27,79335231-e0ff-460f-9cef-f13d7cb390ab,Recognize visual and sound devices used to create meaning in poems
EF35LP26,1d39e23c-7c72-44be-9d6e-ea70ec57c6d2,Identify setting and characters within fictional narrative texts
EF35LP26,c3405583-2dd6-4b85-a9f9-658640b59f11,"Analyze the elements of narrative structure: plot, time, setting, characters, and narrator"
EF35LP26,0e77bc60-8a94-4859-95db-5f52238295d5,Distinguish between direct speech and indirect speech in fictional narratives
EF35LP26,51ca1449-06a0-4625-bbf8-203ee867d6f1,Explain how narrative elements contribute to the construction of meaning in a story
EF35LP25,728fdc27-5a4c-42a7-aaef-fff55d511bb9,"Construct a story with a theme or problem, resolution, and sequence of events"
EF35LP25,7b3dd9d3-0b06-471e-8690-032877e2c412,"Use markers of time, place, and character speech to organize a fictional narrative"
EF35LP25,5dedb8a1-d061-4a66-8d19-86cdc3e92e9e,Incorporate appropriate images or descriptions that sustain the meaning of a narrative text
EF35LP24,cd1388c5-105b-48f9-b33b-d015c4892431,Identify dramatic texts as written specifically to be performed
EF35LP24,f468a7f2-9e3f-4a93-bca1-a9a2df8826cd,Recognize dialogue between characters as the primary organizational structure of dramatic texts
EF35LP24,11c1397e-c630-483f-a2b3-7b3da546f059,"Identify structural elements of drama such as dialogue, stage directions, and cast of characters"
EF35LP23,52f73b9c-7380-4979-80a6-7a47be53ab4b,"Identify sound devices such as alliteration and rhyme in a story, poem, or song"
EF35LP23,6764875a-ede2-4e28-b7ba-e01a0cbbc0a8,"Recognize different ways of organizing verses, stanzas, and refrains in poetic texts"
EF35LP23,e3d72b7c-f713-4391-8dde-a3c69bc1af33,Explain the effects on meaning produced by sound and structural choices in poetry
EF35LP22,d0567088-3aca-498d-84ea-d56542c01a40,Identify dialogues within narrative texts
EF35LP22,28c640b9-d3cd-42a6-b79c-e9cd3ec91678,Explain the semantic effect of reporting verbs used to introduce direct speech
EF35LP22,d72795d5-9d40-426b-ad15-04e474934047,Recognize the use of linguistic varieties in direct speech within narrative texts
EF35LP21,0f78d271-a53e-4746-a3c5-7b7681a69fd3,Read and comprehend literary texts from a variety of genres independently
EF35LP21,974f9d0e-88e3-4d5a-9729-e1ef35fc61f3,"Engage with literary texts of varying lengths, including those without illustrations"
EF35LP21,d7ccbca2-d1f6-4c8b-b028-d59f562d4e43,"Identify personal preferences for genres, themes, and authors based on reading experience"
EF35LP20,da5728e4-cf93-40ff-a8e4-dfbad2c330d1,"Use multisemiotic resources such as images, diagrams, and tables to support an oral presentation"
EF35LP20,f02ab28d-c6b1-4831-9c94-0e5957ca0297,Follow a written outline to organize and guide a class presentation
EF35LP20,27d88de6-5463-4061-866f-0bba2bf4be1f,Adjust language register between formal and informal based on context and audience
EF35LP20,df5a35eb-248f-4321-b4a1-39c20189276a,Manage speaking time appropriately during a class presentation
EF35LP19,39406590-b6e7-4ee6-8d13-49f09c631bfb,"Identify the main ideas expressed during lectures, presentations, and talks"
EF35LP19,df5121c5-00fc-47b5-ab01-ff2fba40f388,Distinguish primary information from secondary details in formal listening situations
EF35LP18,8b88a741-1238-45c1-8e48-f250d7e564c7,Listen attentively to others without interrupting during classroom discussions
EF35LP18,afc8fbfd-58a7-401b-88e6-0eaae356f6e0,Ask clarifying questions about information presented by a speaker
EF35LP18,4c69eafa-6851-4746-85b6-0bdabb1d1ec7,Request clarification when something heard or presented orally is not understood
EF35LP17,6a7328eb-433c-4cb7-9abf-bb7733b5b37f,Search for information about social and natural phenomena in print or digital texts
EF35LP17,6a7e22c3-e5ee-4a93-9fea-ed814503cb66,Select relevant information of interest from multiple sources with teacher support
EF35LP16,b998afaf-7c73-4142-93a3-3770137305ce,Identify the specific formatting and layout conventions of news headlines and leads
EF35LP16,7e7c6e07-c52f-4d86-b366-fd59faca3207,Identify the formatting conventions of simple news stories written for young audiences
EF35LP16,3cbbdb17-8a11-442b-bd01-a4ab3888dd0d,Identify the formatting conventions of complaint letters published in children's magazines
EF35LP16,43b58b96-ef0e-4edd-bed6-d44b48c289f8,Reproduce the layout and structural conventions of these genres in written or oral form
EF35LP15,d62c0c9d-4386-42e5-bc07-b574f9cce4cb,Express a clear opinion or central claim on a topic using formal register
EF35LP15,3acc0fad-12f0-4099-a21c-e9253ec2fed3,Defend a point of view with an argumentative structure appropriate to the communicative situation
EF35LP15,f26e5ee1-a489-46f9-ae6b-a36f80d8d0d5,Identify relevant arguments connected to situations experienced at school or in the community
EF35LP14,dddddad8-85ec-4921-84a4-d951de06ec3d,"Identify personal, possessive, and demonstrative pronouns in texts"
EF35LP14,3d198392-775e-4760-852d-92268bcb7dc0,"Use personal, possessive, and demonstrative pronouns as anaphoric cohesion devices in writing"
EF35LP13,a4d290fa-3b1d-4d6a-9742-f4cb51e2418f,Apply conventional spelling for common high-frequency words in writing
EF35LP13,4dc373d8-8b6d-42ad-839e-a442c9074f92,Memorize the spelling of words beginning with a silent ⟨h⟩
EF15LP11,43a50b01-eed0-42ed-9294-70b46d8f31cb,Identify characteristics of spontaneous face-to-face conversation
EF15LP11,eaa7d8f4-e14d-4ac0-8d90-a4d66cb88609,Respect speaking turns during oral exchanges with peers and teachers
EF15LP11,6c8ea260-3cf4-4b18-a4d2-40dd0b092bb1,Select forms of address appropriate to the interlocutor's role and situation
EF15LP11,5c11e818-952c-4c41-a6ef-2e6e4efc289b,Use appropriate forms of address consistently during conversation
EF15LP10,8b88a741-1238-45c1-8e48-f250d7e564c7,Listen attentively to others without interrupting during classroom discussions
EF15LP10,677cbc12-025e-4894-bd22-1813c17e52fc,Ask relevant questions about the topic being discussed
EF15LP10,4c69eafa-6851-4746-85b6-0bdabb1d1ec7,Request clarification when something heard or presented orally is not understood
EF15LP09,c009d3a8-6222-414c-ad93-5036f52c8e82,Use an audible tone of voice during oral communication situations
EF15LP09,74b1bacf-6813-489c-b1fd-1acfe0b4e328,Articulate words clearly to be understood by the listener
EF15LP09,85a0905f-b411-4fbc-988c-7e09dc2dc42b,Maintain appropriate pacing during oral exchanges
EF15LP09,8b69f69c-debb-41d1-9df2-85579c88a9c4,Communicate a message clearly enough to be understood by the listener
EF15LP08,e6412c88-ec5e-4ece-87a0-a223273fdaf4,Use word processing or publishing tools to produce clearly formatted writing
EF15LP08,46e88182-5c96-4504-99bd-e5fa7ba6703c,Explore multimodal resources available in digital tools when producing texts
EF02LP09,a5b0aaca-1857-484e-920b-9fc71a400ddc,Use the period correctly in written texts
EF02LP09,6839d7c0-ec5f-4ff0-99f0-07bbba800eb4,Use the exclamation point correctly in written texts
EF35LP08,7599f29e-e226-408f-ba69-f5e040624911,Apply lexical substitution strategies to maintain referential cohesion in produced texts
EF35LP08,8af31bce-2d52-46a6-a716-cc0fb10c043f,"Use personal, possessive, and demonstrative pronouns for anaphoric reference in texts"
EF35LP08,2943b0de-64d0-4033-b154-aff1bdec6c5c,"Select transitions that accurately reflect logical relationships such as cause-effect, comparison, or sequence"
EF35LP08,164a6b8e-33f7-4957-9bf9-e1c526ffa330,Use genre-appropriate vocabulary with an adequate level of informativeness when producing texts
EF02LP10,e52b7bd2-6869-40b9-be51-7e3946555f67,Identify synonyms of words found in a read text
EF02LP10,54ac6be9-fc1e-4aa2-9d18-cc0a4c4d4598,Distinguish subtle differences in meaning among words with similar denotations
EF02LP10,b4322eb0-516f-47c6-8202-1b8bc32d1bda,Form antonyms of words by adding the negating prefix in- or im-
EF02LP12,75ea17fe-af4f-4b6e-afc6-9beaf0f246e5,Identify the communicative situation and topic of folk songs and song lyrics
EF02LP12,5069fc8b-f5a8-4ccb-a68c-d7f0abc6f65c,Relate the organizational form of folk songs and song lyrics to their communicative purpose
EF02LP12,c4073ab6-560b-40f9-9e9d-d9f927f97bb3,"Read and comprehend folk songs, song lyrics, and everyday-life genres with some independence"
EF35LP06,18dbed75-20e3-4f1c-8af1-d052d9ffb10d,Identify lexical substitutions that contribute to textual cohesion
EF35LP06,d04a2437-ecd6-4b03-94aa-651621a6ee56,Identify anaphoric pronouns used as pronominal substitutions in a text
EF35LP06,15d11800-afd8-4809-9256-2de96c0adb57,Trace referential relationships between parts of a text using lexical and pronominal substitutions
EF35LP05,6f1948fe-6b46-4786-befb-65b69ebadad9,Identify unknown words encountered in an informational text
EF35LP05,5804d310-a546-495b-8519-1c2bbfac758c,Use sentence-level context clues to determine the meaning of an unknown word
EF35LP04,44444d1e-6ca1-4c40-8553-c90bedf4e9d1,Identify information that is implicitly conveyed in a text
EF35LP04,89899e92-2e50-4c5a-baab-7a5382cc57d2,Make logical inferences based on textual evidence from a reading
EF35LP03,893fbe8f-ccd3-47e9-b6c7-564de8c8a7da,Identify the central idea of an informational text
EF35LP03,6629a31f-291c-4357-a5d7-f92401d572c0,Demonstrate comprehension of a grade-appropriate informational text through guided discussion
EF35LP02,510973e3-09ee-48fe-9ebd-c233ac667bc8,Select books or digital texts for independent reading from available sources
EF35LP02,bc691736-981d-4e37-a08d-c4bf1554e03f,Justify the choice of a book or text selected for independent reading
EF35LP02,855425d7-fd80-42c8-9620-43bf73e07b3a,Share opinions about independently read texts with peers
EF02LP24,ec761141-c2f9-4729-9f81-9dbfe341dc90,Plan experiment reports or interviews for oral delivery using digital tools
EF02LP24,65ba2278-82e7-406c-892d-b73e2e54b685,Produce oral recordings of investigative-field genres in audio or video format collaboratively
