bncc_code,stage,grade,subject,description_pt,description_en
EF08CI02,EF,8º,Ciências,"Construir circuitos elétricos com pilha/bateria, fios e lâmpada ou outros dispositivos e compará-los a circuitos elétricos residenciais.","Construct electric circuits using batteries, wires, and light bulbs or other devices, and compare them to residential electrical circuits."
EF08CI03,EF,8º,Ciências,"Classificar equipamentos elétricos residenciais (chuveiro, ferro, lâmpadas, TV, rádio, geladeira etc.) de acordo com o tipo de transformação de energia (da energia elétrica para a térmica, luminosa, sonora e mecânica, por exemplo).","Classify household electrical appliances (electric shower, iron, light bulbs, television, radio, refrigerator, etc.) according to the type of energy transformation involved (from electrical energy to thermal, light, sound, and mechanical energy, for example)."
EF08CI04,EF,8º,Ciências,Calcular o consumo de eletrodomésticos a partir dos dados de potência (descritos no próprio equipamento) e tempo médio de uso para avaliar o impacto de cada equipamento no consumo doméstico mensal.,Calculate the energy consumption of household appliances using power ratings (as listed on the appliance) and average usage time to evaluate the impact of each appliance on monthly residential electricity consumption.
EF08CI05,EF,8º,Ciências,"Propor ações coletivas para otimizar o uso de energia elétrica em sua escola e/ou comunidade, com base na seleção de equipamentos segundo critérios de sustentabilidade (consumo de energia e eficiência energética) e hábitos de consumo responsável.","Propose collective actions to optimize electricity use in school and/or community settings, based on the selection of appliances according to sustainability criteria (energy consumption and energy efficiency) and responsible consumption habits."
EF08CI06,EF,8º,Ciências,"Discutir e avaliar usinas de geração de energia elétrica (termelétricas, hidrelétricas, eólicas etc.), suas semelhanças e diferenças, seus impactos socioambientais, e como essa energia chega e é usada em sua cidade, comunidade, casa ou escola.","Discuss and evaluate electricity-generating power plants (thermoelectric, hydroelectric, wind-powered, etc.), their similarities and differences, their socio-environmental impacts, and how that energy reaches and is used in one's city, community, home, or school."
EF08CI07,EF,8º,Ciências,Comparar diferentes processos reprodutivos em plantas e animais em relação aos mecanismos adaptativos e evolutivos.,Compare different reproductive processes in plants and animals with respect to adaptive and evolutionary mechanisms.
EF08CI08,EF,8º,Ciências,Analisar e explicar as transformações que ocorrem na puberdade considerando a atuação dos hormônios sexuais e do sistema nervoso.,"Analyze and explain the changes that occur during puberty, considering the roles of sex hormones and the nervous system."
EF08CI09,EF,8º,Ciências,Comparar o modo de ação e a eficácia dos diversos métodos contraceptivos e justificar a necessidade de compartilhar a responsabilidade na escolha e na utilização do método mais adequado à prevenção da gravidez precoce e indesejada e de Doenças Sexualmente Transmissíveis (DST).,"Compare the mechanism of action and effectiveness of various contraceptive methods, and justify the need to share responsibility in choosing and using the most appropriate method for preventing unintended and early pregnancy and Sexually Transmitted Diseases (STDs)."
EF08CI10,EF,8º,Ciências,"Identificar os principais sintomas, modos de transmissão e tratamento de algumas DST (com ênfase na AIDS), e discutir estratégias e métodos de prevenção.","Identify the main symptoms, modes of transmission, and treatment of selected STDs (with emphasis on AIDS), and discuss prevention strategies and methods."
EF08CI11,EF,8º,Ciências,"Selecionar argumentos que evidenciem as múltiplas dimensões da sexualidade humana (biológica, sociocultural, afetiva e ética).","Select arguments that highlight the multiple dimensions of human sexuality (biological, sociocultural, affective, and ethical)."
EF08CI12,EF,8º,Ciências,"Justificar, por meio da construção de modelos e da observação da Lua no céu, a ocorrência das fases da Lua e dos eclipses, com base nas posições relativas entre Sol, Terra e Lua.","Justify, through the construction of models and direct observation of the Moon in the sky, the occurrence of lunar phases and eclipses based on the relative positions of the Sun, Earth, and Moon."
EF08CI13,EF,8º,Ciências,"Representar os movimentos de rotação e translação da Terra e analisar o papel da inclinação do eixo de rotação da Terra em relação à sua órbita na ocorrência das estações do ano, com a utilização de modelos tridimensionais.","Represent Earth's rotational and translational movements and analyze the role of the tilt of Earth's rotational axis relative to its orbit in the occurrence of the seasons, using three-dimensional models."
EF08CI14,EF,8º,Ciências,Relacionar climas regionais aos padrões de circulação atmosférica e oceânica e ao aquecimento desigual causado pela forma e pelos movimentos da Terra.,Relate regional climates to patterns of atmospheric and oceanic circulation and to the unequal heating caused by Earth's shape and movements.
EF08CI15,EF,8º,Ciências,Identificar as principais variáveis envolvidas na previsão do tempo e simular situações nas quais elas possam ser medidas.,Identify the main variables involved in weather forecasting and simulate situations in which those variables can be measured.
EF08CI16,EF,8º,Ciências,Discutir iniciativas que contribuam para restabelecer o equilíbrio ambiental a partir da identificação de alterações climáticas regionais e globais provocadas pela intervenção humana.,"Discuss initiatives that contribute to restoring environmental balance, based on the identification of regional and global climate changes caused by human intervention."
EF09CI01,EF,9º,Ciências,Investigar as mudanças de estado físico da matéria e explicar essas transformações com base no modelo de constituição submicroscópica.,Investigate changes of physical state of matter and explain these transformations using the submicroscopic model of matter's composition.
EF09CI02,EF,9º,Ciências,"Comparar quantidades de reagentes e produtos envolvidos em transformações químicas, estabelecendo a proporção entre as suas massas.","Compare the quantities of reactants and products involved in chemical transformations, establishing the ratio between their masses."
EF09CI03,EF,9º,Ciências,Identificar modelos que descrevem a estrutura da matéria (constituição do átomo e composição de moléculas simples) e reconhecer sua evolução histórica.,Identify models that describe the structure of matter (atomic constitution and composition of simple molecules) and recognize their historical development.
EF09CI04,EF,9º,Ciências,Planejar e executar experimentos que evidenciem que todas as cores de luz podem ser formadas pela composição das três cores primárias da luz e que a cor de um objeto está relacionada também à cor da luz que o ilumina.,"Plan and conduct experiments that demonstrate that all colors of light can be produced by combining the three primary colors of light, and that the apparent color of an object is also related to the color of the light illuminating it."
EF09CI05,EF,9º,Ciências,Investigar os principais mecanismos envolvidos na transmissão e recepção de imagem e som que revolucionaram os sistemas de comunicação humana.,Investigate the principal mechanisms involved in the transmission and reception of image and sound that have revolutionized human communication systems.
EF03CI06,EF,3º,Ciências,"Comparar alguns animais e organizar grupos com base em características externas comuns (presença de penas, pelos, escamas, bico, garras, antenas, patas etc.).","Compare animals and organize them into groups based on common external characteristics (presence of feathers, fur, scales, beaks, claws, antennae, legs, etc.)."
EF03CI07,EF,3º,Ciências,"Identificar características da Terra (como seu formato esférico, a presença de água, solo etc.), com base na observação, manipulação e comparação de diferentes formas de representação do planeta (mapas, globos, fotografias etc.).","Identify characteristics of Earth (such as its spherical shape, the presence of water, soil, etc.) based on the observation, manipulation, and comparison of different representations of the planet (maps, globes, photographs, etc.)."
EF03CI08,EF,3º,Ciências,"Observar, identificar e registrar os períodos diários (dia e/ou noite) em que o Sol, demais estrelas, Lua e planetas estão visíveis no céu.","Observe, identify, and record the times of day (daytime and/or nighttime) during which the Sun, other stars, the Moon, and planets are visible in the sky."
EF03CI09,EF,3º,Ciências,"Comparar diferentes amostras de solo do entorno da escola com base em características como cor, textura, cheiro, tamanho das partículas, permeabilidade etc.","Compare different soil samples from the school's surroundings based on characteristics such as color, texture, smell, particle size, permeability, etc."
EF03CI10,EF,3º,Ciências,"Identificar os diferentes usos do solo (plantação e extração de materiais, dentre outras possibilidades), reconhecendo a importância do solo para a agricultura e para a vida.","Identify the different uses of soil (crop cultivation and extraction of materials, among other possibilities), recognizing the importance of soil for agriculture and for life."
EF04CI01,EF,4º,Ciências,"Identificar misturas na vida diária, com base em suas propriedades físicas observáveis, reconhecendo sua composição.","Identify mixtures in daily life based on observable physical properties, recognizing their composition."
EF04CI02,EF,4º,Ciências,"Testar e relatar transformações nos materiais do dia a dia quando expostos a diferentes condições (aquecimento, resfriamento, luz e umidade).","Test and report transformations in everyday materials when exposed to different conditions (heating, cooling, light, and humidity)."
EF04CI03,EF,4º,Ciências,"Concluir que algumas mudanças causadas por aquecimento ou resfriamento são reversíveis (como as mudanças de estado físico da água) e outras não (como o cozimento do ovo, a queima do papel etc.).","Determine that some changes caused by heating or cooling are reversible (such as changes in the physical state of water) while others are not (such as the cooking of an egg, the burning of paper, etc.)."
EF04CI04,EF,4º,Ciências,"Analisar e construir cadeias alimentares simples, reconhecendo a posição ocupada pelos seres vivos nessas cadeias e o papel do Sol como fonte primária de energia na produção de alimentos.","Analyze and construct simple food chains, recognizing the position occupied by living organisms within those chains and the role of the Sun as the primary source of energy in food production."
EF04CI05,EF,4º,Ciências,Descrever e destacar semelhanças e diferenças entre o ciclo da matéria e o fluxo de energia entre os componentes vivos e não vivos de um ecossistema.,Describe and highlight similarities and differences between the cycling of matter and the flow of energy among the living and nonliving components of an ecosystem.
EF04CI06,EF,4º,Ciências,"Relacionar a participação de fungos e bactérias no processo de decomposição, reconhecendo a importância ambiental desse processo.","Relate the role of fungi and bacteria in the decomposition process, recognizing the environmental importance of this process."
EF04CI07,EF,4º,Ciências,"Verificar a participação de microrganismos na produção de alimentos, combustíveis, medicamentos, entre outros.","Investigate the role of microorganisms in the production of foods, fuels, medicines, and other products."
EF04CI08,EF,4º,Ciências,"Propor, a partir do conhecimento das formas de transmissão de alguns microrganismos (vírus, bactérias e protozoários), atitudes e medidas adequadas para prevenção de doenças a eles associadas.","Propose, based on knowledge of the transmission routes of certain microorganisms (viruses, bacteria, and protozoa), appropriate attitudes and measures for the prevention of associated diseases."
EF04CI09,EF,4º,Ciências,"Identificar os pontos cardeais, com base no registro de diferentes posições relativas do Sol e da sombra de uma vara (gnômon).",Identify the cardinal directions based on the recording of different relative positions of the Sun and the shadow cast by a vertical rod (gnomon).
EF04CI10,EF,4º,Ciências,Comparar as indicações dos pontos cardeais resultantes da observação das sombras de uma vara (gnômon) com aquelas obtidas por meio de uma bússola.,Compare the cardinal direction readings obtained from observing the shadows of a vertical rod (gnomon) with those obtained using a compass.
EF04CI11,EF,4º,Ciências,Associar os movimentos cíclicos da Lua e da Terra a períodos de tempo regulares e ao uso desse conhecimento para a construção de calendários em diferentes culturas.,Associate the cyclical movements of the Moon and Earth with regular time periods and with the use of this knowledge in the construction of calendars across different cultures.
EF05CI01,EF,5º,Ciências,"Explorar fenômenos da vida cotidiana que evidenciem propriedades físicas dos materiais – como densidade, condutibilidade térmica e elétrica, respostas a forças magnéticas, solubilidade, respostas a forças mecânicas (dureza, elasticidade etc.), entre outras.","Explore everyday phenomena that demonstrate physical properties of materials — such as density, thermal and electrical conductivity, responses to magnetic forces, solubility, and responses to mechanical forces (hardness, elasticity, etc.) — among others."
EF05CI02,EF,5º,Ciências,"Aplicar os conhecimentos sobre as mudanças de estado físico da água para explicar o ciclo hidrológico e analisar suas implicações na agricultura, no clima, na geração de energia elétrica, no provimento de água potável e no equilíbrio dos ecossistemas regionais (ou locais).","Apply knowledge of the changes in the physical states of water to explain the water cycle and analyze its implications for agriculture, climate, electric power generation, the supply of drinking water, and the balance of regional (or local) ecosystems."
EF05CI03,EF,5º,Ciências,"Selecionar argumentos que justifiquem a importância da cobertura vegetal para a manutenção do ciclo da água, a conservação dos solos, dos cursos de água e da qualidade do ar atmosférico.","Select arguments that justify the importance of vegetation cover for maintaining the water cycle, conserving soils, waterways, and atmospheric air quality."
EF05CI04,EF,5º,Ciências,Identificar os principais usos da água e de outros materiais nas atividades cotidianas para discutir e propor formas sustentáveis de utilização desses recursos.,Identify the primary uses of water and other materials in everyday activities in order to discuss and propose sustainable ways of using these resources.
EF69AR35,EF,"6º, 7º, 8º, 9º",Arte,"Identificar e manipular diferentes tecnologias e recursos digitais para acessar, apreciar, produzir, registrar e compartilhar práticas e repertórios artísticos, de modo reflexivo, ético e responsável.","Identify and use various digital technologies and resources to access, appreciate, produce, document, and share artistic practices and repertoires in a reflective, ethical, and responsible manner."
EF01CI01,EF,1º,Ciências,"Comparar características de diferentes materiais presentes em objetos de uso cotidiano, discutindo sua origem, os modos como são descartados e como podem ser usados de forma mais consciente.","Compare characteristics of different materials found in everyday objects, discussing their origins, how they are disposed of, and how they can be used more consciously."
EF01CI02,EF,1º,Ciências,"Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções.","Locate, name, and represent graphically (through drawings) parts of the human body and explain their functions."
EF01CI03,EF,1º,Ciências,"Discutir as razões pelas quais os hábitos de higiene do corpo (lavar as mãos antes de comer, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) são necessários para a manutenção da saúde.","Discuss the reasons why body hygiene habits (washing hands before eating, brushing teeth, cleaning eyes, nose, and ears, etc.) are necessary for maintaining health."
EF01CI04,EF,1º,Ciências,"Comparar características físicas entre os colegas, reconhecendo a diversidade e a importância da valorização, do acolhimento e do respeito às diferenças.","Compare physical characteristics among classmates, recognizing diversity and the importance of valuing, welcoming, and respecting differences."
EF01CI05,EF,1º,Ciências,"Identificar e nomear diferentes escalas de tempo: os períodos diários (manhã, tarde, noite) e a sucessão de dias, semanas, meses e anos.","Identify and name different timescales: the periods of the day (morning, afternoon, night) and the succession of days, weeks, months, and years."
EF01CI06,EF,1º,Ciências,Selecionar exemplos de como a sucessão de dias e noites orienta o ritmo de atividades diárias de seres humanos e de outros seres vivos.,Select examples of how the succession of day and night regulates the daily activity patterns of human beings and other living organisms.
EF02CI01,EF,2º,Ciências,"Identificar de que materiais (metais, madeira, vidro etc.) são feitos os objetos que fazem parte da vida cotidiana, como esses objetos são utilizados e com quais materiais eram produzidos no passado.","Identify the materials (metals, wood, glass, etc.) from which everyday objects are made, how those objects are used, and what materials were used to produce them in the past."
EF02CI02,EF,2º,Ciências,"Propor o uso de diferentes materiais para a construção de objetos de uso cotidiano, tendo em vista algumas propriedades desses materiais (flexibilidade, dureza, transparência etc.).","Propose the use of different materials for constructing everyday objects, taking into account selected properties of those materials (flexibility, hardness, transparency, etc.)."
EF02CI03,EF,2º,Ciências,"Discutir os cuidados necessários à prevenção de acidentes domésticos (objetos cortantes e inflamáveis, eletricidade, produtos de limpeza, medicamentos etc.).","Discuss the precautions necessary to prevent household accidents involving sharp and flammable objects, electricity, cleaning products, medications, and similar hazards."
EF02CI04,EF,2º,Ciências,"Descrever características de plantas e animais (tamanho, forma, cor, fase da vida, local onde se desenvolvem etc.) que fazem parte de seu cotidiano e relacioná-las ao ambiente em que eles vivem.","Describe characteristics of plants and animals (size, shape, color, life stage, habitat, etc.) encountered in daily life and relate those characteristics to the environment in which the organisms live."
EF02CI05,EF,2º,Ciências,Investigar a importância da água e da luz para a manutenção da vida de plantas em geral.,Investigate the importance of water and light for sustaining the life of plants in general.
EF02CI06,EF,2º,Ciências,"Identificar as principais partes de uma planta (raiz, caule, folhas, flores e frutos) e a função desempenhada por cada uma delas, e analisar as relações entre as plantas, o ambiente e os demais seres vivos.","Identify the main parts of a plant (root, stem, leaves, flowers, and fruits) and the function performed by each, and analyze the relationships among plants, the environment, and other living organisms."
EF02CI07,EF,2º,Ciências,Descrever as posições do Sol em diversos horários do dia e associá-las ao tamanho da sombra projetada.,Describe the positions of the Sun at various times of day and relate them to the length of the shadows cast.
EF02CI08,EF,2º,Ciências,"Comparar o efeito da radiação solar (aquecimento e reflexão) em diferentes tipos de superfície (água, areia, solo, superfícies escura, clara e metálica etc.).","Compare the effect of solar radiation (heating and reflection) on different types of surfaces (water, sand, soil, dark, light, and metallic surfaces, etc.)."
EF03CI01,EF,3º,Ciências,Produzir diferentes sons a partir da vibração de variados objetos e identificar variáveis que influem nesse fenômeno.,Produce different sounds by vibrating a variety of objects and identify the variables that influence this phenomenon.
EF03CI02,EF,3º,Ciências,"Experimentar e relatar o que ocorre com a passagem da luz através de objetos transparentes (copos, janelas de vidro, lentes, prismas, água etc.), no contato com superfícies polidas (espelhos) e na intersecção com objetos opacos (paredes, pratos, pessoas e outros objetos de uso cotidiano).","Experiment with and report what happens to light as it passes through transparent objects (cups, glass windows, lenses, prisms, water, etc.), comes into contact with polished surfaces (mirrors), and intersects with opaque objects (walls, plates, people, and other everyday objects)."
EF03CI03,EF,3º,Ciências,Discutir hábitos necessários para a manutenção da saúde auditiva e visual considerando as condições do ambiente em termos de som e luz.,"Discuss the habits necessary for maintaining auditory and visual health, taking into account environmental conditions with respect to sound and light."
EF03CI04,EF,3º,Ciências,"Identificar características sobre o modo de vida (o que comem, como se reproduzem, como se deslocam etc.) dos animais mais comuns no ambiente próximo.","Identify characteristics of the way of life (what they eat, how they reproduce, how they move, etc.) of animals most commonly found in the local environment."
EF03CI05,EF,3º,Ciências,"Descrever e comunicar as alterações que ocorrem desde o nascimento em animais de diferentes meios terrestres ou aquáticos, inclusive o homem.","Describe and communicate the changes that occur from birth onward in animals from different terrestrial and aquatic environments, including humans."
EF05CI05,EF,5º,Ciências,Construir propostas coletivas para um consumo mais consciente e criar soluções tecnológicas para o descarte adequado e a reutilização ou reciclagem de materiais consumidos na escola e/ou na vida cotidiana.,Develop collective proposals for more conscious consumption and design technological solutions for the proper disposal and reuse or recycling of materials consumed at school and/or in daily life.
EF05CI06,EF,5º,Ciências,"Selecionar argumentos que justifiquem por que os sistemas digestório e respiratório são considerados corresponsáveis pelo processo de nutrição do organismo, com base na identificação das funções desses sistemas.","Select arguments that justify why the digestive and respiratory systems are considered jointly responsible for the body's nutrition process, based on the identification of the functions of each system."
EF05CI07,EF,5º,Ciências,"Justificar a relação entre o funcionamento do sistema circulatório, a distribuição dos nutrientes pelo organismo e a eliminação dos resíduos produzidos.","Justify the relationship between the functioning of the circulatory system, the distribution of nutrients throughout the body, and the elimination of metabolic waste products."
EF05CI08,EF,5º,Ciências,"Organizar um cardápio equilibrado com base nas características dos grupos alimentares (nutrientes e calorias) e nas necessidades individuais (atividades realizadas, idade, sexo etc.) para a manutenção da saúde do organismo.","Plan a balanced menu based on the characteristics of food groups (nutrients and calories) and individual needs (activities performed, age, sex, etc.) for the maintenance of the body's health."
EF05CI09,EF,5º,Ciências,"Discutir a ocorrência de distúrbios nutricionais (como obesidade, subnutrição etc.) entre crianças e jovens a partir da análise de seus hábitos (tipos e quantidade de alimento ingerido, prática de atividade física etc.).","Discuss the occurrence of nutritional disorders (such as obesity, undernutrition, etc.) among children and adolescents by analyzing their habits (types and quantities of food consumed, physical activity practices, etc.)."
EF05CI10,EF,5º,Ciências,"Identificar algumas constelações no céu, com o apoio de recursos (como mapas celestes e aplicativos digitais, entre outros), e os períodos do ano em que elas são visíveis no início da noite.","Identify constellations in the night sky using available resources (such as star maps and digital applications, among others), and determine the times of year during which they are visible in the early evening."
EF05CI11,EF,5º,Ciências,Associar o movimento diário do Sol e das demais estrelas no céu ao movimento de rotação da Terra.,Connect the apparent daily motion of the Sun and other stars across the sky to Earth's rotation.
