bncc_component_id,cc_component_id,similarity,match_tier
5d5627d0-10b8-4f61-9d11-d5f481465f9a,73f229d1-1fa3-4d1c-8e4e-ed48a8cf89c0,0.1855,link
714d4157-0baa-40b4-af45-c9411506deea,d218ac10-81b7-4526-acb1-9c8fe40422db,0.2013,link
8566e00c-5034-4125-afc2-0738fb438a0a,fb63f9d0-c837-4537-9f3d-f0341f59a801,0.0912,link
08dae30e-d7d8-4e6c-9d5d-b57cc18576d2,5e4a7e70-b372-4a4e-bf25-eb6cb2dd3baf,0.1239,link
d763dfc7-2598-4aa6-a0da-62bc2c153e76,03bc3fb1-0cca-4c49-82d6-f681029d656a,0.3086,link
b1caa30d-4ee0-4cd3-b49e-b49636d27683,9d000bd5-c1a3-43f8-8747-a9ec7434ea27,0.2943,link
3a83ac64-1f6f-4807-ac6d-c8a47cda6d95,f498b24a-bf6f-4fdd-8be6-5819ef1f8780,0.3758,merge
5e5914b7-9498-45b3-aa3d-b47d4a2fbc80,2d1d9d99-a178-4e28-b1d3-cc28993efe8c,0.1632,link
b482d4f7-f53f-41d5-86c5-006f05902dd6,cb39880a-71ef-49d1-bbff-dfbca4db0537,0.2707,merge
eef40c62-c30a-43fc-a794-ae4c47942c1d,621dbcca-d462-4af9-a004-a186efe09a29,0.1237,link
3a572a46-b345-4cc8-b735-1a3f36093489,70d51eb0-4c49-45b7-bcca-b5376fb67fc5,0.1021,link
adbf7431-ec43-45e7-b1f6-09edd5ae9bf5,dc35ad0c-3e30-459a-9d08-2291656a71f1,0.1766,link
0909a0fc-6795-430e-a999-535308b5bc05,2c542028-4403-4e5d-a098-59a78cf45397,0.133,link
a94643ce-6c5a-46e2-921b-0fb4a29283de,4b877474-165f-451d-a681-4f3f0316a022,0.1381,link
86f7cd6d-f2e6-4fc3-8230-00fae635d937,80b0ea98-2fe2-4257-a530-da208c66fc52,0.1511,link
1c9a6292-36dc-4ae8-97ce-3dc6b7795ff3,262b5b58-3041-41fd-bbd5-5da6e80e9355,0.2599,merge
c8956ebb-8bce-45d9-9e70-618304906ece,e6e418bd-1f8f-410c-a16f-3954a67db051,0.1346,link
465b23d2-e36a-48ff-a46c-ac06dc2331d6,bff02455-e44f-47ed-a0d7-91412f947260,0.1698,none
