identifier,name,description
14047f66-56ba-59f0-b582-2af921aab0e6,,Represent a multiple of a/b as a multiple of 1/b
4671de27-b1dd-5e8a-a985-0b1e2e42082d,,Use an understanding of a/b as a multiple of 1/b to multiply a fraction by a whole number
07f4ca9a-f0ef-53e5-a387-4b5d049185a1,,Describe a sequence of transformations that exhibits congruence between two given congruent figures
f56c2e0b-ff61-55b2-8eac-4b069a784d31,,"Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations"
0396ab7c-b6e4-5fc1-b098-ec364e56f022,,Find the conjugate of a complex number
68bf454a-c926-5337-af32-8c0a4d993320,,Use the conjugate of a complex number to find its modulus
b6582c34-bfdd-5028-8ff9-a31d50b19ce5,,Find the quotient of two complex numbers by using their conjugates
0c5dbe5b-eb42-5e3f-a345-2c1982961790,,Prove the elimination method of solving systems of equations
1eba2459-09b5-5633-b32b-db28212d846b,,Prove the substitution method of solving systems of equations
88b14085-880b-52a9-8914-e6b8c8a8e077,,Use a simulation to generate frequencies for compound events
eefa37d0-e3d7-53cd-9e91-f877889b7db0,,Design a simulation to generate frequencies for compound events
b9d27304-5ca2-57b9-968d-e5c946985513,,Convert between forms of writing decimals to the thousandths
10e69fc1-7f7a-56a5-b13d-8d8bab6e5674,,Draw rays and identify them in two-dimensional figures
1f95ef88-6b5b-5b50-acab-79a69f51f872,,Identify lines in two-dimensional figures
27812e5c-a04d-549c-8341-4ab7bccdb688,,"Draw angles (right, acute, obtuse) and identify them in two-dimensional figures"
2f646a05-2fae-5a36-962a-94bc9453ad83,,Draw line segments and identify them in two-dimensional figures
3a80eead-6bf5-522c-a824-9570862ece16,,Identify parallel lines in two-dimensional figures
559a6e78-4316-5d90-95de-004872285c49,,Draw points and identify them in two-dimensional figures
70453a52-6c2e-5f51-8360-d7176bee3ff5,,Draw parallel and perpendicular lines and identify them in two-dimensional figures
ba8dce38-25fb-5155-b5df-d4084be22ba8,,Identify perpendicular lines in two-dimensional figures
c69a41b7-0f98-5837-8a08-bc749f9e0a26,,"Identify right, acute, and obtuse angles in two-dimensional figures"
d6ead46a-e7cd-5534-ae61-3badfc31fa26,,Draw lines and identify them in two-dimensional figures
3a925711-3572-5ea7-93c7-3b5ca7ce0e5d,,Use the Multiplication Principle to decide if two events are independent and to calculate conditional probabilities
91be6280-69b5-5005-aceb-21de46856e86,,Define and understand conditional probabilities
52099373-73ba-51af-86c0-c3fa57c49dec,,Demonstrate that exponential functions grow by equal factors over equal intervals
7f73d67f-1970-5831-9fb9-c7324f552413,,Demonstrate that linear functions grow by equal differences over equal intervals
34fbe045-f7dc-5086-9079-2d35e254c9fe,,Interpret the parameters in a exponential function in terms of a context
78be5909-caa1-57b4-863b-b8424dbad63b,,Interpret the parameters in a linear function in terms of a context
4ae29496-ad30-54cb-8b3d-0c5472c7d2f9,,Count to 100 by tens
555df2b6-7a87-5114-8ba5-398a82a7f6e3,,Count to 100 by ones
67200ac5-9ecb-5f5d-975c-a343ea14082b,,Count to 10 by ones
22098a76-50b2-5d73-8c84-6c8a436a8aa0,,Determine the surface area of three-dimensional prisms in mathematical problems
370f42c5-303d-5239-acb6-262fef986998,,Determine the area of two-dimensional figures composed of various polygons in mathematical problems
3bc46cc4-1dd7-546f-9ffd-138b27d535d1,,Determine the area of two-dimensional figures composed of various polygons in real-world problems
414ec184-bad9-54a7-a34f-a77dfdf9c0f9,,Determine the volume of three-dimensional objects composed of cubes and right prisms in real-world problems
8b731d33-c19b-5567-909c-26ea35d247d1,,Determine the surface area of three-dimensional prisms in real-world problems
c9233a4b-7017-5a51-964b-5d6377c07a31,,Determine the volume of three-dimensional objects composed of cubes and right prisms in mathematical problems
b1b23bda-9699-55f0-943b-e10052fbc0c3,,"Use properties of exponents to write an equivalent form of an exponential function, including expressions with rational coefficients in the exponents"
e9caada8-124e-5265-91c5-b8d2f7571230,,Use properties of exponents to write an equivalent form of an exponential function
edec9d04-be62-5087-ae21-2002b7765473,,Use properties of exponents to write an equivalent form of an exponential expression
7d5e2ea9-0bac-5822-8c15-f5bf1ea6309b,,"Fluently subtract multi-digit whole numbers (minuend to 1,000,000) using the standard algorithm"
bd0c4c17-8426-507e-9615-64ed2eca7270,,"Fluently add multi-digit whole numbers (sums to 1,000,000) using the standard algorithm"
9646cd38-fc5d-59a7-9728-df655c9afa69,,Recognize and use the fact that the radius of a circle is perpendicular to the tangent where the radius intersects the circle
acdc1dd7-24da-553a-929c-bd2ce8e09121,,Recognize and use the fact that inscribed angles on a diameter are right angles
b0669eef-f6e8-5fec-9b0d-a4104550c92e,,"Recognize and use the relationships among radii, chords, tangents, and secants of a circle"
e30dbc0a-a929-5846-bc1d-9c5d3b24400d,,"Recognize, describe, and use the relationships among inscribed angles in a circle, including between central, inscribed, and circumscribed angles"
2abe1331-000f-535d-9dca-ea14efc72a5f,,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, or money"
3d94e385-0372-5d24-aa7d-0af24425f245,,Solve two-step problems using any combination of the four operations in a real-world context involving distances
9432b8e1-ebd3-5962-a190-080bc5687ace,,"Use the four operations to solve word problems involving measurement, including simple fractions or decimals"
a05de981-d7cc-55b5-8b8e-d0640a9f3d67,,"Represent measurement quantities using diagrams, such as number lines, that feature a measurement scale"
